birth_date,name
"December 16, 1775","Jane Austen
    "
"August 14, 1945","Steve Martin
    "
"February 11, 1847","Thomas A. Edison
    "
"July 31, 1965","J.K. Rowling
    "
"March 14, 1879","Albert Einstein
    "
"June 01, 1926","Marilyn Monroe
    "
"October 11, 1884","Eleanor Roosevelt
    "
"April 24, 1899","Allen Saunders
    "
"October 15, 1844","Friedrich Nietzsche
    "
"November 30, 1835","Mark Twain
    "
"September 30, 1928","Elie Wiesel
    "
"November 22, 1869","André Gide
    "
"March 11, 1952","Douglas Adams
    "
"March 02, 1904","Dr. Seuss
    "
"February 06, 1945","Bob Marley
    "
"September 24, 1936","Jim Henson
    "
"August 07, 1942","Garrison Keillor
    "
"August 26, 1910","Mother Teresa
    "
"May 25, 1803","Ralph Waldo Emerson
    "
"July 12, 1904","Pablo Neruda
    "
"November 22, 1819","George Eliot
    "
"August 24, 1899","Jorge Luis Borges
    "
"January 12, 1948","William Nicholson
    "
"November 26, 1922","Charles M. Schulz
    "
"November 29, 1898","C.S. Lewis
    "
"January 15, 1929","Martin Luther King Jr.
    "
"August 02, 1924","James Baldwin
    "
"September 20, 1948","George R.R. Martin
    "
"July 26, 1856","George Bernard Shaw
    "
"June 27, 1880","Helen Keller
    "
"July 21, 1899","Ernest Hemingway
    "
"July 27, 1824","Alexandre Dumas-fils
    "
"December 24, 1973","Stephenie Meyer
    "
"January 12, 1949","Haruki Murakami
    "
"January 03, 1892","J.R.R. Tolkien
    "
"August 11, 1962","Suzanne Collins
    "
"August 16, 1920","Charles Bukowski
    "
"February 02, 1905","Ayn Rand
    "
"January 29, 1880","W.C. Fields
    "
"October 09, 1940","John Lennon
    "
"May 12, 1937","George Carlin
    "
"January 01, 1919","J.D. Salinger
    "
"April 28, 1948","Terry Pratchett
    "
"August 06, 1809","Alfred Tennyson
    "
"October 14, 1894","E.E. Cummings
    "
"March 04, 1965","Khaled Hosseini
    "
"November 29, 1918","Madeleine L'Engle
    "
"April 28, 1926","Harper Lee
    "
"May 09, 1860","J.M. Barrie
    "
"November 27, 1942","Jimi Hendrix
    "
